X	Y	X	Y	X	Y	X	Y	X	Y
96.01	0.007	96.01	0.027	96.01	0.939	96.01	40.238	96.01	50.442
96.25	0.087	96.25	0.027	96.25	0.939	96.25	40.254	96.25	50.441
96.583	0.198	96.583	0.027	96.583	0.939	96.583	40.277	96.583	50.441
96.99	0	96.99	0.027	96.99	0.939	96.99	40.309	96.99	50.44
97	0.003	97	0.027	97	0.939	97	40.31	97	50.44
97.01	0.007	97.01	0.027	97.01	0.939	97.01	40.311	97.01	50.44
97.25	0.087	97.25	0.027	97.25	0.939	97.25	40.331	97.25	50.44
97.583	0.198	97.583	0.027	97.583	0.939	97.583	40.361	97.583	50.44
97.99	0	97.99	0.027	97.99	0.94	97.99	40.401	97.99	50.439
98	0.003	98	0.027	98	0.94	98	40.402	98	50.439
98.01	0.007	98.01	0.027	98.01	0.94	98.01	40.403	98.01	50.439
98.25	0.087	98.25	0.027	98.25	0.94	98.25	40.427	98.25	50.439
98.583	0.198	98.583	0.027	98.583	0.94	98.583	40.464	98.583	50.438
98.99	0	98.99	0.027	98.99	0.94	98.99	40.51	98.99	50.438
99	0.003	99	0.027	99	0.94	99	40.512	99	50.438
99.01	0.007	99.01	0.027	99.01	0.94	99.01	40.513	99.01	50.438
99.25	0.087	99.25	0.027	99.25	0.941	99.25	40.541	99.25	50.438
99.583	0.198	99.583	0.027	99.583	0.941	99.583	40.583	99.583	50.438
99.99	0	99.99	0.027	99.99	0.941	99.99	40.634	99.99	50.437
100	0.003	100	0.027	100	0.941	100	40.635	100	50.437
100.01	0.007	100.01	0.027	100.01	0.941	100.01	40.637	100.01	50.437
100.25	0.087	100.25	0.027	100.25	0.942	100.25	40.668	100.25	50.437
100.583	0.198	100.583	0.027	100.583	0.942	100.583	40.712	100.583	50.437
100.99	0	100.99	0.027	100.99	0.942	100.99	40.767	100.99	50.437
101	0.003	101	0.027	101	0.942	101	40.769	101	50.437
101.01	0.007	101.01	0.027	101.01	0.942	101.01	40.77	101.01	50.437
101.25	0.087	101.25	0.027	101.25	0.942	101.25	40.804	101.25	50.437
101.583	0.198	101.583	0.027	101.583	0.943	101.583	40.851	101.583	50.436
101.99	0	101.99	0.027	101.99	0.943	101.99	40.91	101.99	50.436
102	0.003	102	0.027	102	0.943	102	40.911	102	50.436
102.01	0.007	102.01	0.027	102.01	0.943	102.01	40.913	102.01	50.436
102.25	0.087	102.25	0.027	102.25	0.943	102.25	40.948	102.25	50.436
102.583	0.198	102.583	0.027	102.583	0.944	102.583	40.998	102.583	50.436
102.99	0	102.99	0.027	102.99	0.944	102.99	41.058	102.99	50.436
103	0.003	103	0.027	103	0.944	103	41.06	103	50.436
103.01	0.007	103.01	0.027	103.01	0.944	103.01	41.061	103.01	50.436
103.25	0.087	103.25	0.027	103.25	0.944	103.25	41.097	103.25	50.462
103.583	0.198	103.583	0.027	103.583	0.944	103.583	41.147	103.583	50.499
103.99	0	103.99	0.027	103.99	0.944	103.99	41.209	103.99	50.545
104	0.003	104	0.027	104	0.944	104	41.21	104	50.546
104.01	0.007	104.01	0.027	104.01	0.944	104.01	41.212	104.01	50.547
104.25	0.087	104.25	0.027	104.25	0.945	104.25	41.248	104.25	50.574
104.583	0.198	104.583	0.027	104.583	0.945	104.583	41.298	104.583	50.611
104.99	0	104.99	0.027	104.99	0.945	104.99	41.36	104.99	50.657
105	0.003	105	0.027	105	0.945	105	41.361	105	50.658
105.01	0.007	105.01	0.027	105.01	0.945	105.01	41.363	105.01	50.659
105.25	0.087	105.25	0.027	105.25	0.945	105.25	41.399	105.25	50.686
105.583	0.198	105.583	0.027	105.583	0.945	105.583	41.45	105.583	50.723
105.99	0	105.99	0.027	105.99	0.945	105.99	41.512	105.99	50.769
106	0.003	106	0.027	106	0.945	106	41.513	106	50.77
106.01	0.007	106.01	0.027	106.01	0.945	106.01	41.515	106.01	50.771
106.25	0.087	106.25	0.027	106.25	0.945	106.25	41.55	106.25	50.798
106.583	0.198	106.583	0.027	106.583	0.945	106.583	41.601	106.583	50.835
106.99	0	106.99	0.027	106.99	0.946	106.99	41.661	106.99	50.881
107	0.003	107	0.027	107	0.946	107	41.662	107	50.882
107.01	0.007	107.01	0.027	107.01	0.946	107.01	41.663	107.01	50.883
107.25	0.087	107.25	0.027	107.25	0.946	107.25	41.698	107.25	50.91
107.583	0.198	107.583	0.027	107.583	0.946	107.583	41.746	107.583	50.947
107.99	0	107.99	0.027	107.99	0.946	107.99	41.803	107.99	50.993
108	0.003	108	0.027	108	0.946	108	41.805	108	50.994
108.01	0.007	108.01	0.027	108.01	0.946	108.01	41.806	108.01	50.995
108.25	0.087	108.25	0.027	108.25	0.946	108.25	41.84	108.25	51.022
108.583	0.198	108.583	0.027	108.583	0.946	108.583	41.885	108.583	51.059
108.99	0	108.99	0.027	108.99	0.946	108.99	41.94	108.99	51.105
109	0.003	109	0.027	109	0.946	109	41.942	109	51.106
109.01	0.007	109.01	0.027	109.01	0.946	109.01	41.943	109.01	51.107
109.25	0.087	109.25	0.027	109.25	0.946	109.25	41.975	109.25	51.134
109.583	0.198	109.583	0.027	109.583	0.946	109.583	42.018	109.583	51.171
109.99	0	109.99	0.027	109.99	0.946	109.99	42.07	109.99	51.217
110	0.003	110	0.027	110	0.946	110	42.071	110	51.218
110.01	0.007	110.01	0.027	110.01	0.946	110.01	42.072	110.01	51.219
110.25	0.087	110.25	0.027	110.25	0.946	110.25	42.102	110.25	51.246
110.583	0.198	110.583	0.027	110.583	0.947	110.583	42.143	110.583	51.283
110.99	0	110.99	0.027	110.99	0.947	110.99	42.192	110.99	51.329
111	0.003	111	0.027	111	0.947	111	42.193	111	51.33
111.01	0.007	111.01	0.027	111.01	0.947	111.01	42.194	111.01	51.331
111.25	0.087	111.25	0.027	111.25	0.947	111.25	42.222	111.25	51.358
111.583	0.198	111.583	0.027	111.583	0.947	111.583	42.26	111.583	51.395
111.99	0	111.99	0.027	111.99	0.947	111.99	42.304	111.99	51.441
112	0.003	112	0.027	112	0.947	112	42.305	112	51.442
112.01	0.007	112.01	0.027	112.01	0.947	112.01	42.306	112.01	51.443
112.25	0.087	112.25	0.027	112.25	0.947	112.25	42.331	112.25	51.47
112.583	0.198	112.583	0.027	112.583	0.947	112.583	42.365	112.583	51.507
112.99	0	112.99	0.027	112.99	0.947	112.99	42.405	112.99	51.553
113	0.003	113	0.027	113	0.947	113	42.406	113	51.554
113.01	0.007	113.01	0.027	113.01	0.947	113.01	42.407	113.01	51.555
113.25	0.087	113.25	0.027	113.25	0.947	113.25	42.429	113.25	51.582
113.583	0.198	113.583	0.027	113.583	0.947	113.583	42.46	113.583	51.619
113.99	0	113.99	0.027	113.99	0.947	113.99	42.494	113.99	51.665
114	0.003	114	0.027	114	0.947	114	42.495	114	51.666
114.01	0.007	114.01	0.027	114.01	0.947	114.01	42.496	114.01	51.667
114.25	0.087	114.25	0.027	114.25	0.947	114.25	42.515	114.25	51.694
114.583	0.198	114.583	0.027	114.583	0.947	114.583	42.54	114.583	51.731
114.99	0	114.99	0.027	114.99	0.947	114.99	42.569	114.99	51.777
115	0.003	115	0.027	115	0.947	115	42.57	115	51.778
115.01	0.007	115.01	0.027	115.01	0.947	115.01	42.571	115.01	51.779
115.25	0.087	115.25	0.027	115.25	0.947	115.25	42.587	115.25	51.806
115.583	0.198	115.583	0.027	115.583	0.947	115.583	42.608	115.583	51.843
115.99	0	115.99	0.027	115.99	0.946	115.99	42.631	115.99	51.889
116	0.003	116	0.027	116	0.946	116	42.632	116	51.89
116.01	0.007	116.01	0.027	116.01	0.946	116.01	42.632	116.01	51.891
116.25	0.087	116.25	0.027	116.25	0.946	116.25	42.645	116.25	51.918
116.583	0.198	116.583	0.027	116.583	0.946	116.583	42.662	116.583	51.955
116.99	0	116.99	0.027	116.99	0.946	116.99	42.68	116.99	52.001
117	0.003	117	0.027	117	0.946	117	42.68	117	52.002
117.01	0.007	117.01	0.027	117.01	0.946	117.01	42.681	117.01	52.003
117.25	0.087	117.25	0.027	117.25	0.946	117.25	42.69	117.25	52.03
117.583	0.198	117.583	0.027	117.583	0.946	117.583	42.702	117.583	52.067
117.99	0	117.99	0.027	117.99	0.946	117.99	42.714	117.99	52.113
118	0.003	118	0.027	118	0.946	118	42.714	118	52.114
118.01	0.007	118.01	0.027	118.01	0.946	118.01	42.714	118.01	52.115
118.25	0.087	118.25	0.027	118.25	0.946	118.25	42.72	118.25	52.142
118.583	0.198	118.583	0.027	118.583	0.946	118.583	42.727	118.583	52.179
118.99	0	118.99	0.027	118.99	0.945	118.99	42.734	118.99	52.225
119	0.003	119	0.027	119	0.945	119	42.734	119	52.226
119.01	0.007	119.01	0.027	119.01	0.945	119.01	42.734	119.01	52.227
119.25	0.087	119.25	0.027	119.25	0.945	119.25	42.736	119.25	52.254
119.583	0.198	119.583	0.027	119.583	0.945	119.583	42.739	119.583	52.291
119.99	0	119.99	0.027	119.99	0.945	119.99	42.739	119.99	52.337
120	0.003	120	0.027	120	0.945	120	42.739	120	52.338
120.01	0.007	120.01	0.027	120.01	0.945	120.01	42.739	120.01	52.339
120.25	0.087	120.25	0.027	120.25	0.945	120.25	42.738	120.25	52.366
120.583	0.198	120.583	0.027	120.583	0.944	120.583	42.735	120.583	52.403
120.99	0	120.99	0.027	120.99	0.944	120.99	42.729	120.99	52.449
121	0.003	121	0.027	121	0.944	121	42.729	121	52.45
121.01	0.007	121.01	0.027	121.01	0.944	121.01	42.729	121.01	52.451
121.25	0.087	121.25	0.027	121.25	0.944	121.25	42.724	121.25	52.478
121.583	0.198	121.583	0.027	121.583	0.944	121.583	42.717	121.583	52.515
121.99	0	121.99	0.027	121.99	0.944	121.99	42.705	121.99	52.561
122	0.003	122	0.027	122	0.944	122	42.705	122	52.562
122.01	0.007	122.01	0.027	122.01	0.944	122.01	42.704	122.01	52.563
122.25	0.087	122.25	0.027	122.25	0.943	122.25	42.696	122.25	52.59
122.583	0.198	122.583	0.027	122.583	0.943	122.583	42.682	122.583	52.627
122.99	0	122.99	0.027	122.99	0.943	122.99	42.664	122.99	52.673
123	0.003	123	0.027	123	0.943	123	42.664	123	52.674
123.01	0.007	123.01	0.027	123.01	0.943	123.01	42.664	123.01	52.675
123.25	0.087	123.25	0.027	123.25	0.942	123.25	42.652	123.25	52.702
123.583	0.198	123.583	0.027	123.583	0.942	123.583	42.635	123.583	52.739
123.99	0	123.99	0.027	123.99	0.942	123.99	42.611	123.99	52.785
124	0.003	124	0.027	124	0.942	124	42.61	124	52.786
124.01	0.007	124.01	0.027	124.01	0.942	124.01	42.61	124.01	52.787
124.25	0.087	124.25	0.027	124.25	0.942	124.25	42.595	124.25	52.814
124.583	0.198	124.583	0.027	124.583	0.941	124.583	42.572	124.583	52.851
124.99	0	124.99	0.027	124.99	0.941	124.99	42.543	124.99	52.897
125	0.003	125	0.027	125	0.941	125	42.542	125	52.898
125.01	0.007	125.01	0.027	125.01	0.941	125.01	42.541	125.01	52.899
125.25	0.087	125.25	0.027	125.25	0.941	125.25	42.523	125.25	52.926
125.583	0.198	125.583	0.027	125.583	0.94	125.583	42.496	125.583	52.963
125.99	0	125.99	0.027	125.99	0.94	125.99	42.461	125.99	53.009
126	0.003	126	0.027	126	0.94	126	42.46	126	53.01
126.01	0.007	126.01	0.027	126.01	0.94	126.01	42.459	126.01	53.011
126.25	0.087	126.25	0.027	126.25	0.939	126.25	42.437	126.25	53.038
126.583	0.198	126.583	0.027	126.583	0.939	126.583	42.406	126.583	53.075
126.99	0	126.99	0.027	126.99	0.939	126.99	42.365	126.99	53.121
127	0.003	127	0.027	127	0.939	127	42.364	127	53.122
127.01	0.007	127.01	0.027	127.01	0.939	127.01	42.363	127.01	53.123
127.25	0.087	127.25	0.027	127.25	0.938	127.25	42.338	127.25	53.15
127.583	0.198	127.583	0.027	127.583	0.938	127.583	42.302	127.583	53.187
127.99	0	127.99	0.027	127.99	0.937	127.99	42.256	127.99	53.233
128	0.003	128	0.027	128	0.937	128	42.255	128	53.234
128.01	0.007	128.01	0.027	128.01	0.937	128.01	42.254	128.01	53.235
128.25	0.087	128.25	0.027	128.25	0.937	128.25	42.225	128.25	53.262
128.583	0.198	128.583	0.027	128.583	0.937	128.583	42.184	128.583	53.299
128.99	0	128.99	0.027	128.99	0.936	128.99	42.132	128.99	53.345
129	0.003	129	0.027	129	0.936	129	42.131	129	53.346
129.01	0.007	129.01	0.027	129.01	0.936	129.01	42.13	129.01	53.347
129.25	0.087	129.25	0.027	129.25	0.936	129.25	42.098	129.25	53.374
129.583	0.198	129.583	0.027	129.583	0.935	129.583	42.054	129.583	53.411
129.99	0	129.99	0.027	129.99	0.935	129.99	41.997	129.99	53.457
130	0.003	130	0.027	130	0.935	130	41.996	130	53.458
130.01	0.007	130.01	0.027	130.01	0.935	130.01	41.995	130.01	53.459
130.25	0.087	130.25	0.027	130.25	0.934	130.25	41.96	130.25	53.486
130.583	0.198	130.583	0.027	130.583	0.934	130.583	41.909	130.583	53.523
130.99	0	130.99	0.027	130.99	0.933	130.99	41.848	130.99	53.569
131	0.003	131	0.027	131	0.933	131	41.846	131	53.57
131.01	0.007	131.01	0.027	131.01	0.933	131.01	41.845	131.01	53.571
131.25	0.087	131.25	0.027	131.25	0.933	131.25	41.807	131.25	53.598
131.583	0.198	131.583	0.027	131.583	0.932	131.583	41.754	131.583	53.635
131.99	0	131.99	0.027	131.99	0.932	131.99	41.688	131.99	53.681
132	0.003	132	0.027	132	0.932	132	41.686	132	53.682
132.01	0.007	132.01	0.027	132.01	0.932	132.01	41.685	132.01	53.683
132.25	0.087	132.25	0.027	132.25	0.931	132.25	41.645	132.25	53.71
132.583	0.198	132.583	0.027	132.583	0.931	132.583	41.587	132.583	53.747
132.99	0	132.99	0.027	132.99	0.93	132.99	41.517	132.99	53.793
133	0.003	133	0.027	133	0.93	133	41.515	133	53.794
133.01	0.007	133.01	0.027	133.01	0.93	133.01	41.513	133.01	53.795
133.25	0.087	133.25	0.027	133.25	0.93	133.25	41.471	133.25	53.822
133.583	0.198	133.583	0.027	133.583	0.929	133.583	41.41	133.583	53.859
133.99	0	133.99	0.027	133.99	0.928	133.99	41.335	133.99	53.905
134	0.003	134	0.027	134	0.928	134	41.333	134	53.906
134.01	0.007	134.01	0.027	134.01	0.928	134.01	41.332	134.01	53.907
134.25	0.087	134.25	0.027	134.25	0.928	134.25	41.286	134.25	53.934
134.583	0.198	134.583	0.027	134.583	0.927	134.583	41.224	134.583	53.971
134.99	0	134.99	0.027	134.99	0.927	134.99	41.145	134.99	54.017
135	0.003	135	0.027	135	0.927	135	41.143	135	54.018
135.01	0.007	135.01	0.027	135.01	0.927	135.01	41.141	135.01	54.019
135.25	0.087	135.25	0.027	135.25	0.926	135.25	41.093	135.25	54.046
135.583	0.198	135.583	0.027	135.583	0.926	135.583	41.025	135.583	54.083
135.99	0	135.99	0.028	135.99	0.925	135.99	40.941	135.99	54.129
136	0.003	136	0.028	136	0.925	136	40.939	136	54.13
136.01	0.007	136.01	0.028	136.01	0.925	136.01	40.937	136.01	54.131
136.25	0.087	136.25	0.028	136.25	0.924	136.25	40.887	136.25	54.158
136.583	0.198	136.583	0.028	136.583	0.924	136.583	40.817	136.583	54.195
136.99	0	136.99	0.028	136.99	0.923	136.99	40.73	136.99	54.241
137	0.003	137	0.028	137	0.923	137	40.728	137	54.242
137.01	0.007	137.01	0.028	137.01	0.923	137.01	40.726	137.01	54.243
137.25	0.087	137.25	0.028	137.25	0.922	137.25	40.674	137.25	54.27
137.583	0.198	137.583	0.028	137.583	0.922	137.583	40.601	137.583	54.307
137.99	0	137.99	0.029	137.99	0.921	137.99	40.512	137.99	54.353
138	0.003	138	0.029	138	0.921	138	40.51	138	54.354
138.01	0.007	138.01	0.029	138.01	0.921	138.01	40.508	138.01	54.355
138.25	0.087	138.25	0.029	138.25	0.92	138.25	40.454	138.25	54.382
138.583	0.198	138.583	0.029	138.583	0.92	138.583	40.379	138.583	54.419
138.99	0	138.99	0.029	138.99	0.919	138.99	40.287	138.99	54.465
139	0.003	139	0.029	139	0.919	139	40.285	139	54.466
139.01	0.007	139.01	0.029	139.01	0.919	139.01	40.282	139.01	54.467
139.25	0.087	139.25	0.029	139.25	0.919	139.25	40.227	139.25	54.494
139.583	0.198	139.583	0.03	139.583	0.918	139.583	40.15	139.583	54.531
139.99	0	139.99	0.03	139.99	0.917	139.99	40.055	139.99	54.577
140	0.003	140	0.03	140	0.917	140	40.053	140	54.578
140.01	0.007	140.01	0.03	140.01	0.917	140.01	40.05	140.01	54.579
140.25	0.087	140.25	0.03	140.25	0.916	140.25	39.994	140.25	54.606
140.583	0.198	140.583	0.03	140.583	0.916	140.583	39.916	140.583	54.643
140.99	0	140.99	0.03	140.99	0.915	140.99	39.819	140.99	54.689
141	0.003	141	0.03	141	0.915	141	39.817	141	54.69
141.01	0.007	141.01	0.03	141.01	0.915	141.01	39.815	141.01	54.691
141.25	0.087	141.25	0.031	141.25	0.914	141.25	39.757	141.25	54.718
141.583	0.198	141.583	0.031	141.583	0.914	141.583	39.678	141.583	54.755
141.99	0	141.99	0.031	141.99	0.913	141.99	39.58	141.99	54.801
142	0.003	142	0.031	142	0.913	142	39.578	142	54.802
142.01	0.007	142.01	0.031	142.01	0.913	142.01	39.575	142.01	54.803
142.25	0.087	142.25	0.031	142.25	0.912	142.25	39.518	142.25	54.83
142.583	0.198	142.583	0.031	142.583	0.912	142.583	39.437	142.583	54.867
142.99	0	142.99	0.032	142.99	0.911	142.99	39.34	142.99	54.913
143	0.003	143	0.032	143	0.911	143	39.338	143	54.914
143.01	0.007	143.01	0.032	143.01	0.911	143.01	39.336	143.01	54.915
143.25	0.087	143.25	0.032	143.25	0.91	143.25	39.279	143.25	54.942
143.583	0.198	143.583	0.032	143.583	0.91	143.583	39.202	143.583	54.979
143.99	0	143.99	0.032	143.99	0.909	143.99	39.109	143.99	55.025
144	0.003	144	0.032	144	0.909	144	39.107	144	55.026
144.01	0.007	144.01	0.032	144.01	0.909	144.01	39.105	144.01	55.027
144.25	0.087	144.25	0.032	144.25	0.908	144.25	39.051	144.25	55.054
144.583	0.198	144.583	0.033	144.583	0.908	144.583	38.978	144.583	55.091
144.99	0	144.99	0.033	144.99	0.907	144.99	38.891	144.99	55.137
145	0.003	145	0.033	145	0.907	145	38.889	145	55.138
145.01	0.007	145.01	0.033	145.01	0.907	145.01	38.887	145.01	55.139
145.25	0.087	145.25	0.033	145.25	0.906	145.25	38.837	145.25	55.166
145.583	0.198	145.583	0.033	145.583	0.906	145.583	38.77	145.583	55.203
145.99	0	145.99	0.033	145.99	0.905	145.99	38.689	145.99	55.249
146	0.003	146	0.033	146	0.905	146	38.687	146	55.25
146.01	0.007	146.01	0.033	146.01	0.905	146.01	38.685	146.01	55.251
146.25	0.087	146.25	0.034	146.25	0.905	146.25	38.638	146.25	55.278
146.583	0.198	146.583	0.034	146.583	0.904	146.583	38.573	146.583	55.315
146.99	0	146.99	0.034	146.99	0.903	146.99	38.492	146.99	55.361
147	0.003	147	0.034	147	0.903	147	38.49	147	55.362
147.01	0.007	147.01	0.034	147.01	0.903	147.01	38.488	147.01	55.363
147.25	0.087	147.25	0.034	147.25	0.903	147.25	38.439	147.25	55.39
147.583	0.198	147.583	0.034	147.583	0.902	147.583	38.37	147.583	55.427
147.99	0	147.99	0.035	147.99	0.901	147.99	38.284	147.99	55.473
148	0.003	148	0.035	148	0.901	148	38.281	148	55.474
148.01	0.007	148.01	0.035	148.01	0.901	148.01	38.279	148.01	55.475
148.25	0.087	148.25	0.035	148.25	0.901	148.25	38.227	148.25	55.502
148.583	0.198	148.583	0.035	148.583	0.9	148.583	38.153	148.583	55.539
148.99	0	148.99	0.035	148.99	0.899	148.99	38.057	148.99	55.585
149	0.003	149	0.035	149	0.899	149	38.055	149	55.586
149.01	0.007	149.01	0.035	149.01	0.899	149.01	38.053	149.01	55.587
149.25	0.087	149.25	0.035	149.25	0.899	149.25	37.994	149.25	55.614
149.583	0.198	149.583	0.036	149.583	0.898	149.583	37.909	149.583	55.651
149.99	0	149.99	0.036	149.99	0.897	149.99	37.803	149.99	55.697
150	0.003	150	0.036	150	0.897	150	37.8	150	55.698
150.01	0.007	150.01	0.036	150.01	0.897	150.01	37.797	150.01	55.699
150.25	0.087	150.25	0.036	150.25	0.897	150.25	37.732	150.25	55.726
150.583	0.198	150.583	0.036	150.583	0.896	150.583	37.639	150.583	55.763
150.99	0	150.99	0.037	150.99	0.895	150.99	37.521	150.99	55.809
151	0.003	151	0.037	151	0.895	151	37.518	151	55.81
151.01	0.007	151.01	0.037	151.01	0.895	151.01	37.515	151.01	55.811
151.25	0.087	151.25	0.037	151.25	0.894	151.25	37.443	151.25	55.838
151.583	0.198	151.583	0.037	151.583	0.893	151.583	37.34	151.583	55.875
151.99	0	151.99	0.037	151.99	0.892	151.99	37.21	151.99	55.921
152	0.003	152	0.037	152	0.892	152	37.207	152	55.922
152.01	0.007	152.01	0.037	152.01	0.892	152.01	37.204	152.01	55.923
152.25	0.087	152.25	0.038	152.25	0.892	152.25	37.125	152.25	55.95
152.583	0.198	152.583	0.038	152.583	0.891	152.583	37.011	152.583	55.987
152.99	0	152.99	0.038	152.99	0.889	152.99	36.869	152.99	56.033
153	0.003	153	0.038	153	0.889	153	36.866	153	56.034
153.01	0.007	153.01	0.038	153.01	0.889	153.01	36.862	153.01	56.035
153.25	0.087	153.25	0.038	153.25	0.889	153.25	36.777	153.25	56.062
153.583	0.198	153.583	0.038	153.583	0.888	153.583	36.655	153.583	56.099
153.99	0	153.99	0.039	153.99	0.886	153.99	36.502	153.99	56.145
154	0.003	154	0.039	154	0.886	154	36.499	154	56.146
154.01	0.007	154.01	0.039	154.01	0.886	154.01	36.495	154.01	56.147
154.25	0.087	154.25	0.039	154.25	0.886	154.25	36.402	154.25	56.174
154.583	0.198	154.583	0.039	154.583	0.885	154.583	36.272	154.583	56.211
154.99	0	154.99	0.039	154.99	0.883	154.99	36.109	154.99	56.257
155	0.003	155	0.039	155	0.883	155	36.105	155	56.258
155.01	0.007	155.01	0.039	155.01	0.883	155.01	36.101	155.01	56.259
155.25	0.087	155.25	0.04	155.25	0.882	155.25	36.003	155.25	56.286
155.583	0.198	155.583	0.04	155.583	0.881	155.583	35.865	155.583	56.323
155.99	0	155.99	0.04	155.99	0.88	155.99	35.692	155.99	56.369
156	0.003	156	0.04	156	0.88	156	35.688	156	56.37
156.01	0.007	156.01	0.04	156.01	0.88	156.01	35.683	156.01	56.371
156.25	0.087	156.25	0.04	156.25	0.879	156.25	35.58	156.25	56.398
156.583	0.198	156.583	0.041	156.583	0.878	156.583	35.433	156.583	56.435
156.99	0	156.99	0.041	156.99	0.876	156.99	35.252	156.99	56.481
157	0.003	157	0.041	157	0.876	157	35.247	157	56.482
157.01	0.007	157.01	0.041	157.01	0.876	157.01	35.243	157.01	56.483
157.25	0.087	157.25	0.041	157.25	0.875	157.25	35.134	157.25	56.51
157.583	0.198	157.583	0.041	157.583	0.874	157.583	34.981	157.583	56.547
157.99	0	157.99	0.042	157.99	0.873	157.99	34.791	157.99	56.593
158	0.003	158	0.042	158	0.873	158	34.786	158	56.594
158.01	0.007	158.01	0.042	158.01	0.873	158.01	34.782	158.01	56.595
158.25	0.087	158.25	0.042	158.25	0.872	158.25	34.668	158.25	56.622
158.583	0.198	158.583	0.042	158.583	0.87	158.583	34.509	158.583	56.659
158.99	0	158.99	0.042	158.99	0.869	158.99	34.312	158.99	56.705
159	0.003	159	0.042	159	0.869	159	34.307	159	56.706
159.01	0.007	159.01	0.042	159.01	0.869	159.01	34.302	159.01	56.707
159.25	0.087	159.25	0.043	159.25	0.868	159.25	34.185	159.25	56.734
159.583	0.198	159.583	0.043	159.583	0.866	159.583	34.02	159.583	56.771
159.99	0	159.99	0.043	159.99	0.865	159.99	33.817	159.99	56.817
160	0.003	160	0.043	160	0.865	160	33.812	160	56.818
160.01	0.007	160.01	0.043	160.01	0.865	160.01	33.807	160.01	56.819
160.25	0.087	160.25	0.043	160.25	0.864	160.25	33.686	160.25	56.846
160.583	0.198	160.583	0.044	160.583	0.862	160.583	33.517	160.583	56.883
160.99	0	160.99	0.044	160.99	0.861	160.99	33.308	160.99	56.929
161	0.003	161	0.044	161	0.861	161	33.303	161	56.93
161.01	0.007	161.01	0.044	161.01	0.861	161.01	33.298	161.01	56.931
161.25	0.087	161.25	0.044	161.25	0.86	161.25	33.174	161.25	56.958
161.583	0.198	161.583	0.045	161.583	0.858	161.583	33.001	161.583	56.995
161.99	0	161.99	0.045	161.99	0.856	161.99	32.788	161.99	57.041
162	0.003	162	0.045	162	0.856	162	32.783	162	57.042
162.01	0.007	162.01	0.045	162.01	0.856	162.01	32.777	162.01	57.043
162.25	0.087	162.25	0.045	162.25	0.855	162.25	32.651	162.25	57.07
162.583	0.198	162.583	0.045	162.583	0.854	162.583	32.473	162.583	57.107
162.99	0	162.99	0.046	162.99	0.852	162.99	32.256	162.99	57.153
163	0.003	163	0.046	163	0.852	163	32.25	163	57.154
163.01	0.007	163.01	0.046	163.01	0.852	163.01	32.245	163.01	57.155
163.25	0.087	163.25	0.046	163.25	0.851	163.25	32.116	163.25	57.182
163.583	0.198	163.583	0.046	163.583	0.849	163.583	31.936	163.583	57.219
163.99	0	163.99	0.046	163.99	0.848	163.99	31.716	163.99	57.265
164	0.003	164	0.046	164	0.847	164	31.711	164	57.266
164.01	0.007	164.01	0.046	164.01	0.847	164.01	31.705	164.01	57.267
164.25	0.087	164.25	0.047	164.25	0.846	164.25	31.575	164.25	57.294
164.583	0.198	164.583	0.047	164.583	0.845	164.583	31.393	164.583	57.331
164.99	0	164.99	0.047	164.99	0.843	164.99	31.171	164.99	57.377
165	0.003	165	0.047	165	0.843	165	31.166	165	57.378
165.01	0.007	165.01	0.047	165.01	0.843	165.01	31.16	165.01	57.379
165.25	0.087	165.25	0.048	165.25	0.842	165.25	31.029	165.25	57.406
165.583	0.198	165.583	0.048	165.583	0.84	165.583	30.845	165.583	57.443
165.99	0	165.99	0.048	165.99	0.838	165.99	30.621	165.99	57.489
166	0.003	166	0.048	166	0.838	166	30.615	166	57.49
166.01	0.007	166.01	0.048	166.01	0.838	166.01	30.61	166.01	57.491
166.25	0.087	166.25	0.048	166.25	0.837	166.25	30.477	166.25	57.518
166.583	0.198	166.583	0.049	166.583	0.836	166.583	30.293	166.583	57.555
166.99	0	166.99	0.049	166.99	0.834	166.99	30.068	166.99	57.601
167	0.003	167	0.049	167	0.834	167	30.062	167	57.602
167.01	0.007	167.01	0.049	167.01	0.833	167.01	30.057	167.01	57.603
167.25	0.087	167.25	0.049	167.25	0.832	167.25	29.924	167.25	57.63
167.583	0.198	167.583	0.05	167.583	0.831	167.583	29.739	167.583	57.667
167.99	0	167.99	0.05	167.99	0.829	167.99	29.514	167.99	57.713
168	0.003	168	0.05	168	0.829	168	29.508	168	57.714
168.01	0.007	168.01	0.05	168.01	0.829	168.01	29.503	168.01	57.715
168.25	0.087	168.25	0.05	168.25	0.828	168.25	29.37	168.25	57.742
168.583	0.198	168.583	0.05	168.583	0.826	168.583	29.184	168.583	57.779
168.99	0	168.99	0.051	168.99	0.824	168.99	28.959	168.99	57.825
169	0.003	169	0.051	169	0.824	169	28.953	169	57.826
169.01	0.007	169.01	0.051	169.01	0.824	169.01	28.948	169.01	57.827
169.25	0.087	169.25	0.051	169.25	0.823	169.25	28.815	169.25	57.854
169.583	0.198	169.583	0.051	169.583	0.821	169.583	28.631	169.583	57.891
169.99	0	169.99	0.052	169.99	0.819	169.99	28.407	169.99	57.937
170	0.003	170	0.052	170	0.819	170	28.401	170	57.938
170.01	0.007	170.01	0.052	170.01	0.819	170.01	28.396	170.01	57.939
