X	Y	X	Y	X	Y	X	Y	X	Y
29.01	0.007	29.01	0.817	29.01	1.066	29.01	107.616	29.01	85.714
29.99	0	29.99	0.823	29.99	1.065	29.99	107.258	29.99	85.714
30	0.003	30	0.823	30	1.065	30	107.251	30	85.714
30.01	0.007	30.01	0.823	30.01	1.065	30.01	107.247	30.01	85.714
30.99	0	30.99	0.829	30.99	1.064	30.99	106.893	30.99	85.714
31	0.003	31	0.829	31	1.064	31	106.891	31	85.714
31.01	0.007	31.01	0.829	31.01	1.064	31.01	106.887	31.01	85.714
31.99	0	31.99	0.834	31.99	1.063	31.99	106.537	31.99	85.714
32	0.003	32	0.834	32	1.063	32	106.534	32	85.714
32.01	0.007	32.01	0.835	32.01	1.063	32.01	106.53	32.01	85.714
32.99	0	32.99	0.84	32.99	1.062	32.99	106.183	32.99	85.714
33	0.003	33	0.84	33	1.062	33	106.179	33	85.714
33.01	0.007	33.01	0.84	33.01	1.062	33.01	106.176	33.01	85.714
33.99	0	33.99	0.846	33.99	1.061	33.99	105.833	33.99	85.714
34	0.003	34	0.846	34	1.061	34	105.829	34	85.714
34.01	0.007	34.01	0.846	34.01	1.061	34.01	105.826	34.01	85.714
34.99	0	34.99	0.852	34.99	1.06	34.99	105.486	34.99	85.714
35	0.003	35	0.852	35	1.06	35	105.483	35	85.714
35.01	0.007	35.01	0.852	35.01	1.06	35.01	105.479	35.01	85.714
35.99	0	35.99	0.857	35.99	1.059	35.99	105.144	35.99	85.714
36	0.003	36	0.857	36	1.059	36	105.141	36	85.714
36.01	0.007	36.01	0.857	36.01	1.059	36.01	105.137	36.01	85.714
36.99	0	36.99	0.863	36.99	1.058	36.99	104.806	36.99	85.714
37	0.003	37	0.863	37	1.058	37	104.803	37	85.714
37.01	0.007	37.01	0.863	37.01	1.058	37.01	104.799	37.01	85.714
37.99	0	37.99	0.869	37.99	1.057	37.99	104.472	37.99	85.714
38	0.003	38	0.869	38	1.057	38	104.469	38	85.714
38.01	0.007	38.01	0.869	38.01	1.057	38.01	104.465	38.01	85.714
38.99	0	38.99	0.874	38.99	1.056	38.99	104.142	38.99	85.714
39	0.003	39	0.874	39	1.056	39	104.139	39	85.714
39.01	0.007	39.01	0.874	39.01	1.056	39.01	104.136	39.01	85.714
39.99	0	39.99	0.88	39.99	1.055	39.99	103.817	39.99	85.714
40	0.003	40	0.88	40	1.055	40	103.814	40	85.714
40.01	0.007	40.01	0.88	40.01	1.055	40.01	103.81	40.01	85.714
40.99	0	40.99	0.886	40.99	1.054	40.99	103.496	40.99	85.714
41	0.003	41	0.886	41	1.054	41	103.492	41	85.714
41.01	0.007	41.01	0.886	41.01	1.054	41.01	103.489	41.01	85.714
41.99	0	41.99	0.891	41.99	1.053	41.99	103.179	41.99	85.714
42	0.003	42	0.891	42	1.053	42	103.175	42	85.714
42.01	0.007	42.01	0.891	42.01	1.053	42.01	103.172	42.01	85.714
42.99	0	42.99	0.897	42.99	1.052	42.99	102.866	42.99	85.714
43	0.003	43	0.897	43	1.052	43	102.863	43	85.714
43.01	0.007	43.01	0.897	43.01	1.052	43.01	102.86	43.01	85.714
43.99	0	43.99	0.903	43.99	1.052	43.99	102.558	43.99	85.714
44	0.003	44	0.903	44	1.052	44	102.555	44	85.714
44.01	0.007	44.01	0.903	44.01	1.052	44.01	102.552	44.01	85.714
44.99	0	44.99	0.908	44.99	1.051	44.99	102.254	44.99	85.714
45	0.003	45	0.908	45	1.051	45	102.251	45	85.714
45.01	0.007	45.01	0.908	45.01	1.051	45.01	102.248	45.01	85.714
45.99	0	45.99	0.914	45.99	1.05	45.99	101.955	45.99	85.714
46	0.003	46	0.914	46	1.05	46	101.952	46	85.714
46.01	0.007	46.01	0.914	46.01	1.05	46.01	101.949	46.01	85.714
46.99	0	46.99	0.92	46.99	1.049	46.99	101.66	46.99	85.714
47	0.003	47	0.92	47	1.049	47	101.657	47	85.714
47.01	0.007	47.01	0.92	47.01	1.049	47.01	101.654	47.01	85.714
47.99	0	47.99	0.925	47.99	1.048	47.99	101.369	47.99	85.714
48	0.003	48	0.925	48	1.048	48	101.366	48	85.714
48.01	0.007	48.01	0.925	48.01	1.048	48.01	101.364	48.01	85.714
48.99	0	48.99	0.931	48.99	1.047	48.99	101.083	48.99	85.714
49	0.003	49	0.931	49	1.047	49	101.081	49	85.714
49.01	0.007	49.01	0.931	49.01	1.047	49.01	101.078	49.01	85.714
49.99	0	49.99	0.936	49.99	1.046	49.99	100.802	49.99	85.714
50	0.003	50	0.936	50	1.046	50	100.799	50	85.714
50.01	0.007	50.01	0.937	50.01	1.046	50.01	100.797	50.01	85.714
50.99	0	50.99	0.942	50.99	1.046	50.99	100.525	50.99	85.714
51	0.003	51	0.942	51	1.046	51	100.523	51	85.714
51.01	0.007	51.01	0.942	51.01	1.046	51.01	100.52	51.01	85.714
51.99	0	51.99	0.948	51.99	1.045	51.99	100.253	51.99	85.714
52	0.003	52	0.948	52	1.045	52	100.251	52	85.714
52.01	0.007	52.01	0.948	52.01	1.045	52.01	100.248	52.01	85.714
52.99	0	52.99	0.953	52.99	1.044	52.99	99.986	52.99	85.714
53	0.003	53	0.953	53	1.044	53	99.983	53	85.714
53.01	0.007	53.01	0.951	53.01	1.044	53.01	99.98	53.01	85.714
53.25	0.087	53.25	0.908	53.25	1.044	53.25	100.1	53.25	85.714
53.583	0.198	53.583	0.851	53.583	1.043	53.583	99.751	53.583	85.714
53.99	0	53.99	0.787	53.99	1.041	53.99	98.967	53.99	85.714
54	0.003	54	0.785	54	1.041	54	98.945	54	85.714
54.01	0.007	54.01	0.784	54.01	1.041	54.01	98.923	54.01	85.643
54.25	0.087	54.25	0.748	54.25	1.045	54.25	98.36	54.25	83.993
54.583	0.198	54.583	0.702	54.583	1.05	54.583	97.512	54.583	81.829
54.99	0	54.99	0.649	54.99	1.056	54.99	96.407	54.99	79.376
55	0.003	55	0.648	55	1.056	55	96.379	55	79.319
55.01	0.007	55.01	0.647	55.01	1.056	55.01	96.351	55.01	79.261
55.25	0.087	55.25	0.618	55.25	1.059	55.25	95.672	55.25	77.91
55.583	0.198	55.583	0.58	55.583	1.063	55.583	94.708	55.583	76.138
55.99	0	55.99	0.536	55.99	1.067	55.99	93.508	55.99	74.13
56	0.003	56	0.535	56	1.067	56	93.478	56	74.083
56.01	0.007	56.01	0.534	56.01	1.067	56.01	93.449	56.01	74.035
56.25	0.087	56.25	0.511	56.25	1.07	56.25	92.731	56.25	72.929
56.583	0.198	56.583	0.479	56.583	1.072	56.583	91.726	56.583	71.478
56.99	0	56.99	0.444	56.99	1.075	56.99	90.494	56.99	69.835
57	0.003	57	0.443	57	1.075	57	90.464	57	69.796
57.01	0.007	57.01	0.442	57.01	1.075	57.01	90.433	57.01	69.757
57.25	0.087	57.25	0.423	57.25	1.077	57.25	89.704	57.25	68.852
57.583	0.198	57.583	0.397	57.583	1.079	57.583	88.69	57.583	67.664
57.99	0	57.99	0.368	57.99	1.081	57.99	87.456	57.99	66.318
58	0.003	58	0.368	58	1.081	58	87.426	58	66.286
58.01	0.007	58.01	0.367	58.01	1.081	58.01	87.396	58.01	66.254
58.25	0.087	58.25	0.351	58.25	1.082	58.25	86.67	58.25	65.513
58.583	0.198	58.583	0.33	58.583	1.083	58.583	85.665	58.583	64.54
58.99	0	58.99	0.307	58.99	1.083	58.99	84.447	58.99	63.439
59	0.003	59	0.306	59	1.083	59	84.417	59	63.413
59.01	0.007	59.01	0.305	59.01	1.083	59.01	84.388	59.01	63.387
59.25	0.087	59.25	0.292	59.25	1.084	59.25	83.674	59.25	62.78
59.583	0.198	59.583	0.275	59.583	1.084	59.583	82.689	59.583	61.983
59.99	0	59.99	0.256	59.99	1.084	59.99	81.499	59.99	61.081
60	0.003	60	0.255	60	1.084	60	81.47	60	61.06
60.01	0.007	60.01	0.255	60.01	1.084	60.01	81.441	60.01	61.039
60.25	0.087	60.25	0.244	60.25	1.084	60.25	80.745	60.25	60.542
60.583	0.198	60.583	0.23	60.583	1.084	60.583	79.787	60.583	59.89
60.99	0	60.99	0.214	60.99	1.083	60.99	78.631	60.99	59.151
61	0.003	61	0.214	61	1.083	61	78.603	61	59.134
61.01	0.007	61.01	0.214	61.01	1.083	61.01	78.575	61.01	59.116
61.25	0.087	61.25	0.205	61.25	1.082	61.25	77.901	61.25	58.709
61.583	0.198	61.583	0.193	61.583	1.082	61.583	76.974	61.583	58.176
61.99	0	61.99	0.18	61.99	1.08	61.99	75.858	61.99	57.571
62	0.003	62	0.18	62	1.08	62	75.831	62	57.557
62.01	0.007	62.01	0.18	62.01	1.08	62.01	75.804	62.01	57.542
62.25	0.087	62.25	0.173	62.25	1.079	62.25	75.154	62.25	57.209
62.583	0.198	62.583	0.163	62.583	1.078	62.583	74.261	62.583	56.772
62.99	0	62.99	0.153	62.99	1.076	62.99	73.188	62.99	56.277
63	0.003	63	0.152	63	1.076	63	73.162	63	56.265
63.01	0.007	63.01	0.152	63.01	1.076	63.01	73.135	63.01	56.254
63.25	0.087	63.25	0.146	63.25	1.075	63.25	72.511	63.25	55.981
63.583	0.198	63.583	0.139	63.583	1.073	63.583	71.654	63.583	55.623
63.99	0	63.99	0.13	63.99	1.071	63.99	70.626	63.99	55.218
64	0.003	64	0.13	64	1.071	64	70.601	64	55.208
